uniname,zipcode,branch,branchdtl,school,schooldtl,address
경상국립대학교,53064,캠퍼스,본교(제2캠퍼스),4년제,대학교,경남 통영시 통영해안로 2
경상국립대학교,51391,캠퍼스,본교(제3캠퍼스),4년제,대학교,경남 창원시 의창구 차룡로48번길 54
경성대학교,48434,본교,본교(제1캠퍼스),4년제,대학교,부산광역시 남구 수영로 309 
경운대학교,39160,본교,본교(제1캠퍼스),4년제,대학교,경상북도 구미시 산동면 강동로 730 
경인교육대학교,21044,본교,본교(제1캠퍼스),교육대,교육대학,인천광역시 계양구 계산로 62 
경인교육대학교,13910,캠퍼스,본교(제2캠퍼스),교육대,교육대학,경기도 안양시 만안구 삼막로 155 
경일대학교,38428,본교,본교(제1캠퍼스),4년제,대학교,경상북도 경산시 하양읍 가마실길 50 
경주대학교,38065,본교,본교(제1캠퍼스),4년제,대학교,경상북도 경주시 태종로 188 
경희대학교,2447,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 동대문구 경희대로 26 
경희대학교,17104,캠퍼스,본교(제2캠퍼스),4년제,대학교,경기 용인시 기흥구 덕영대로 1732
계명대학교,42403,캠퍼스,본교(제2캠퍼스),4년제,대학교,대구 남구 명덕로 104
계명대학교,42601,본교,본교(제1캠퍼스),4년제,대학교,대구광역시 달서구 달구벌대로 1095 
고려대학교,2841,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 성북구 안암로 145 
고려대학교,30019,분교,분교(제1캠퍼스),4년제,대학교,세종특별자치시 조치원읍 세종로 2511 
고신대학교,49267,캠퍼스,본교(제2캠퍼스),4년제,대학교,부산 서구 감천로 262 
고신대학교,49104,본교,본교(제1캠퍼스),4년제,대학교,부산광역시 영도구 와치로 194 
공주교육대학교,32553,본교,본교(제1캠퍼스),교육대,교육대학,충청남도 공주시 웅진로 27 
공주대학교,32439,캠퍼스,본교(제3캠퍼스),4년제,대학교,충남 예산군 예산읍 대학로 54
공주대학교,31080,캠퍼스,본교(제2캠퍼스),4년제,대학교,충남 천안시 서북구 천안대로 1223-24
공주대학교,32588,본교,본교(제1캠퍼스),4년제,대학교,충청남도 공주시 공주대학로 56 
광신대학교,61027,본교,본교(제1캠퍼스),4년제,대학교,광주광역시 북구 양산택지소로 36 
광운대학교,1897,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 노원구 광운로 20 
광주가톨릭대학교,58230,본교,본교(제1캠퍼스),4년제,대학교,전라남도 나주시 남평읍 중남길 12-25 
광주과학기술원,61005,본교,본교(제1캠퍼스),4년제,대학교,광주광역시 북구 첨단과기로 123 
광주교육대학교,61204,본교,본교(제1캠퍼스),교육대,교육대학,광주광역시 북구 필문대로 55 
광주대학교,61743,본교,본교(제1캠퍼스),4년제,대학교,광주광역시 남구 효덕로 277 
광주여자대학교,62396,본교,본교(제1캠퍼스),4년제,대학교,광주광역시 광산구 광주여대길 40 
국민대학교,2707,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 성북구 정릉로 77 
군산대학교,54150,본교,본교(제1캠퍼스),4년제,대학교,전라북도 군산시 대학로 558 
