unicode,uniname,branch,address,latitude,longitude,distance
0000329,숭실사이버대학교,본교,서울특별시 종로구 삼일대로30길 23,37.5744614,126.9887770,2.5856386804115523
0000330,디지털서울문화예술대학교,본교,서울특별시 서대문구 통일로37길 60,37.5853994,126.9439038,5.4558815577993816
0000331,한양사이버대학교,본교,서울특별시 성동구 왕십리로 220,37.5571729,127.0475538,5.284388831647242
0000332,사이버한국외국어대학교,본교,서울특별시 동대문구 이문로 107,37.5973078,127.0582878,8.032887914911196
0000333,화신사이버대학교,본교,부산광역시 연제구 고분로191번길 1,35.1857564,129.1032078,323.8923739276851
0000334,글로벌사이버대학교,본교,충청남도 천안시 동남구 목천읍 교천지산길 284-88,36.7939942,127.1994887,86.10092912107065
0000335,건양사이버대학교,본교,대전광역시 서구 관저동로 158,36.3066420,127.3426130,141.67571864683603
0000374,한국과학기술원,본교,대전광역시 유성구 대학로 291,36.3717787,127.3608437,135.02585902256214
0000381,광주과학기술원,본교,광주광역시 북구 첨단과기로 123,35.2274076,126.8414788,258.194939475042
0000382,대구경북과학기술원,본교,대구광역시 달성군 현풍면 테크노중앙대로 333,35.7046798,128.4570131,243.39517492786828
0000383,한국예술종합학교,본교,서울특별시 성북구 화랑로32길 146-37,37.6059752,127.0567034,8.578345058105276
0002573,경동대학교,제2캠퍼스,강원특별자치도 속초시 도리원길 5,38.1928096,128.5523125,154.94899186191873
0002574,경동대학교,제3캠퍼스,강원특별자치도 원주시 문막읍 견훤로 815,37.2654572,127.7938647,78.05660839069286
0002660,인천대학교,본교,인천광역시 연수구 아카데미로 119,37.3754977,126.6332532,36.964159312951274
0002712,신한대학교,본교,경기도 동두천시 벌마들로40번길 30,37.9041540,127.0361651,39.40553904972145
0002726,단국대학교,제2캠퍼스,충청남도 천안시 동남구 단대로 119,36.8373833,127.1685007,80.81756635269575
0002744,경동대학교,제4캠퍼스,경기도 양주시 경동대학로 27,37.8094630,127.0714290,29.592749479221
0002748,가야대학교(김해),본교,경상남도 김해시 삼계로 208,35.2693690,128.8725421,304.41170689475734
0002749,가야대학교(고령),제2캠퍼스,경상북도 고령군 대가야읍 대가야로 1103,35.7188919,128.2503558,232.5540389442159
0002800,신한대학교,제2캠퍼스,경기도 의정부시 호암로 95,37.7100953,127.0449589,18.336236083162444
0002911,을지대학교,제3캠퍼스,경기도 의정부시 동일로 712,37.7518185,127.0506997,22.942295034385165
0002949,홍익대학교,제2캠퍼스,세종특별자치시 조치원읍 세종로 2639,36.6206133,127.2857975,106.60740101615028
0002959,상명대학교,제2캠퍼스,충청남도 천안시 동남구 상명대길 31,36.8334726,127.1791304,81.4342717836157
0003022,한국전통문화대학교,본교,충청남도 부여군 규암면 백제문로 367,36.3083816,126.8970588,138.15894160627485
0003139,한국에너지공과대학교,본교,전라남도 나주시 켄텍길 21,35.0105734,126.8033467,282.40403533423233
0003183,태재대학교,본교,서울특별시 종로구 창덕궁5길 22-8,37.5836098,126.9884111,3.600586187498518
