cname; iso2; iso3; year; eminq0; eminq1; eminq2; eminq3; eminq4; eminq5;
Poland; pl; pol; 1995; 185074908743.5963; -2415198933.755209; 10309024355.19263; 30582029085.81186; 50709713935.71965; 95889340300.62737;
Poland; pl; pol; 1999; 331513096702.1978; -3363995447.469574; 17303612349.84492; 57724620237.13108; 92303872573.76015; 167544986988.9312;
Poland; pl; pol; 2004; 391969187149.8484; -3758437279.960711; 11307135189.54726; 61638982914.56799; 108728322477.9343; 214053183847.7595;
Poland; pl; pol; 2005; 404990075879.1271; -4213951093.029681; 12679714191.82697; 64135876077.99561; 113267409880.281; 219121026822.0532;
Poland; pl; pol; 2006; 452815051638.5425; -4299750001.850085; 16270430538.32658; 73825628021.51086; 125791765758.9355; 241226977321.6196;
Poland; pl; pol; 2007; 530388205669.7774; -3930029237.266465; 21513318191.8946; 88539398750.62244; 144185665993.2573; 280079851971.2695;
Poland; pl; pol; 2008; 623747212479.0275; -5932811795.464423; 27525844836.85686; 105819689339.6619; 172218672087.1069; 324115818010.8662;
Poland; pl; pol; 2009; 660819735491.2158; -6213082264.40201; 28204896641.10005; 113472741963.1914; 183638608960.303; 341716570191.0234;
Poland; pl; pol; 2010; 710645331746.7787; -5102217491.116833; 31288001972.06818; 123428894185.6409; 195685582500.2471; 365345070579.9395;
Poland; pl; pol; 2011; 733910860756.1718; -7475782084.89548; 31469303182.39537; 126914191881.5957; 203727371665.1958; 379275776111.8804;
Poland; pl; pol; 2012; 762127882909.0939; -7641800041.328429; 33125550040.05785; 129928132867.0251; 210846317463.6226; 395869682579.7168;
Poland; pl; pol; 2013; 778651799303.7516; -9605814499.658934; 34704951540.05233; 133220788773.5769; 212710103040.3989; 407621770449.3823;
Poland; pl; pol; 2014; 813005856568.2358; -7828196525.35622; 37917795118.36082; 140158053915.4504; 221703138388.1592; 421055065671.6216;
Poland; pl; pol; 2015; 836037716753.7118; -8299527889.7833; 40327918382.88712; 147201238727.2944; 230159755788.001; 426648331745.3125;
Poland; pl; pol; 2016; 859035246136.9281; -11241204027.68702; 39356833933.40268; 150702507448.772; 239087178478.1572; 441129930304.2832;
Poland; pl; pol; 2017; 942897891667.9884; -6420175094.556445; 42599267332.01753; 159725692800.6387; 256118606630.2881; 490874499999.6006;
Poland; pl; pol; 2018; 1000835523680.069; -8004170383.616734; 41354615978.92645; 171578486777.4135; 275553262908.2868; 520353328399.059;
Poland; pl; pol; 2019; 1067248258331.989; -7410151349.055186; 39856989451.23274; 183523134406.606; 301268776202.032; 550009509621.1731;
Poland; pl; pol; 2020; 1113930251003.276; -7566911598.082803; 38951427579.83855; 195401078843.0377; 310479047914.3189; 576665608264.1637;
Romania; ro; rou; 1995; 5678143810.759792; 124392959.8027593; 524646844.1954785; 1009600856.988403; 1470632012.27642; 2548871137.496731;
Romania; ro; rou; 1997; 17744797245.50644; 434799574.375232; 1677931520.478586; 3122988376.394574; 4493422175.072851; 8015655599.185192;
Romania; ro; rou; 2006; 192790710622.6665; 2521226407.513732; 8764089910.560266; 28935610476.71232; 52888403933.8364; 99681379894.04376;
Romania; ro; rou; 2007; 203282100803.8134; 2432172163.588308; 8356089814.191597; 30271282660.49035; 56890223208.86895; 105332332956.6742;
Romania; ro; rou; 2008; 237493169913.7091; 2816487859.230614; 9418097314.526588; 34762060622.27139; 67382250319.59724; 123114273798.0832;
Romania; ro; rou; 2009; 246711544679.8282; 3223484317.712166; 9617577242.343496; 36380437428.19055; 70210881950.88872; 127279163740.6933;
