cname; iso2; iso3; year; ehitotalq0; ehitotalq1; ehitotalq2; ehitotalq3; ehitotalq4; ehitotalq5;
Italy; it; ita; 1980; 175549837263.441; 11946753261.2679; 21131583381.73532; 31613373940.47767; 40697975870.47146; 70160150809.48863;
Italy; it; ita; 1981; 196209604460.5249; 16251680588.65086; 23816693752.13485; 35842990043.29207; 47583317523.71074; 72714922552.73639;
Italy; it; ita; 1982; 237778434829.1406; 16605514103.3741; 30273573718.99812; 43832551572.78003; 57014909877.4787; 90051885556.50969;
Italy; it; ita; 1983; 271828331231.8055; 23306091028.94492; 28789367854.25175; 48746755917.17476; 64183393938.64423; 106802722492.7898;
Italy; it; ita; 1984; 309988395408.2811; 26141919652.97356; 34168309812.44409; 55789183314.41422; 75722131790.418; 118166850838.0312;
Italy; it; ita; 1986; 342533310899.5306; 36334737411.71976; 27132544931.81951; 63212320980.24597; 84859460507.28578; 130994247068.4596;
Italy; it; ita; 1987; 420049510704.6498; 26476788481.43312; 46905780422.94298; 71322214807.34532; 100498996857.6128; 174845730135.3156;
Italy; it; ita; 1989; 497888882938.4857; 33759283184.42785; 60154518242.90134; 89877466625.25441; 120373886543.2612; 193723728342.6408;
Italy; it; ita; 1991; 555279547440.3934; 36943501590.63661; 71454764419.10474; 102826808940.043; 137611079414.6581; 206443393075.951;
Italy; it; ita; 1993; 595436766777.4432; 39634123904.17793; 62661775333.12893; 102361253557.1319; 144115877520.6593; 246663736462.3452;
Italy; it; ita; 1995; 639633327845.1755; 42268014353.08382; 69163877337.7283; 112034286899.6763; 156465178864.2503; 259701970390.4368;
Italy; it; ita; 1998; 734708468743.9607; 49854796072.90621; 77236229000.84009; 128423833583.23; 178386186415.7316; 300807423671.2527;
Italy; it; ita; 2000; 777782640926.7284; 54366575428.22012; 85358048162.32037; 141428220085.625; 184440846463.0741; 312188950787.4887;
Italy; it; ita; 2002; 818504144674.0757; 58946758877.66954; 94395895555.5811; 139407204718.3859; 191944170625.1192; 333810114897.3199;
Italy; it; ita; 2004; 888883286814.2618; 68001854271.93221; 108647209082.4957; 157998208338.9874; 200693022597.9315; 353542992522.915;
Italy; it; ita; 2006; 974959658279.9672; 75213483355.16118; 118881639841.1774; 171800269591.5761; 225983319035.9558; 383080946456.0967;
Italy; it; ita; 2008; 1012184949651.257; 77638059150.69705; 131534091753.6284; 176739189543.5998; 233143082503.7205; 393130526699.6115;
