cname; iso2; iso3; year; ehpublicq0; ehpublicq1; ehpublicq2; ehpublicq3; ehpublicq4; ehpublicq5;
United Kingdom; uk; gbr; 1983; 50141929660.6712; 19573847638.02525; 14438444105.80247; 7948369935.208707; 5267945536.630919; 2913322445.003855;
United Kingdom; uk; gbr; 1984; 53692744661.33575; 21144277006.7084; 15688220742.56578; 8670823244.596474; 5107507464.508449; 3081916202.956642;
United Kingdom; uk; gbr; 1985; 57243868453.34874; 22498306424.2304; 16815787891.42141; 8969385339.031792; 5601982716.557468; 3358406082.107662;
United Kingdom; uk; gbr; 1986; 62228391146.79795; 23780621135.72729; 18511360576.27509; 10034063285.65827; 6230058657.669824; 3672287491.467486;
United Kingdom; uk; gbr; 1987; 66387791722.54178; 25578912576.24513; 18770574151.7335; 11461050618.35692; 6340782467.515201; 4236471908.691026;
United Kingdom; uk; gbr; 1988; 65311636580.74089; 25800597786.73061; 18328717677.9468; 10617726195.4693; 6619972955.701488; 3944621964.892694;
United Kingdom; uk; gbr; 1989; 68793660571.38647; 27075532135.21236; 20297730973.46296; 10844759067.47885; 6861272383.842365; 3714366011.389938;
United Kingdom; uk; gbr; 1990; 73504399329.60936; 28645863524.23672; 21438934206.01523; 12127656282.23655; 6854799004.761045; 4437146312.359803;
United Kingdom; uk; gbr; 1991; 84419228552.28218; 33202314273.74768; 24528544683.31614; 13817598127.30591; 7994229658.392319; 4876541809.520122;
United Kingdom; uk; gbr; 1992; 95797613618.88449; 38785536929.91004; 28197395843.90986; 15356526514.74969; 8382864713.31237; 5075289617.002529;
United Kingdom; uk; gbr; 1993; 104153136623.8074; 41579422794.94099; 29751601255.79886; 16732986709.10738; 10000714875.9291; 6088410988.031115;
United Kingdom; uk; gbr; 1994; 108272476186.9832; 43814319610.60043; 32155930352.24414; 18011400509.36367; 9050470306.367523; 5039243533.715656;
United Kingdom; uk; gbr; 1995; 112963820797.1706; 44529026475.92023; 32190113950.0266; 18203285942.08474; 8808237169.011864; 4803881878.710764;
United Kingdom; uk; gbr; 1996; 116530179441.0949; 46657079739.48072; 33575806841.46449; 17231736732.61502; 9244656580.531446; 5247910403.6283;
United Kingdom; uk; gbr; 1997; 116301954687.5271; 47367213283.90166; 33578596265.58601; 17685260578.46379; 8568203872.547213; 5159799322.09285;
United Kingdom; uk; gbr; 1998; 121447747801.1239; 49629921246.64148; 35481582036.73387; 17803726919.86777; 9338888313.416893; 5019225350.594935;
United Kingdom; uk; gbr; 1999; 127323193410.5862; 51714927654.61374; 37551475749.56701; 18910318089.33752; 9764964691.514622; 5344965489.888622;
